,0,1,2,3,4,5,6,7,8,9
0,Valeurs predites,0,1,2,3,4,7,8,16,
1,Valeurs reelles,,,,,,,,,
2,0,1 | 10.0%,0 | 0.0%,0 | 0.0%,1 | 10.0%,1 | 10.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
3,1,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 10.0%,1 | 10.0%,0 | 0.0%,
4,2,2 | 20.0%,0 | 0.0%,1 | 10.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 10.0%,
5,3,1 | 10.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
6,4,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
7,7,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
8,8,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
9,16,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
10,,,,,,,,,,"2.0
20.0%"
