,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,Valeurs predites,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,40,
1,Valeurs reelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,15220 | 8.75%,32320 | 18.58%,19021 | 10.93%,13366 | 7.68%,9667 | 5.56%,6650 | 3.82%,4662 | 2.68%,3379 | 1.94%,2292 | 1.32%,1512 | 0.87%,1096 | 0.63%,715 | 0.41%,433 | 0.25%,295 | 0.17%,219 | 0.13%,169 | 0.1%,103 | 0.06%,47 | 0.03%,18 | 0.01%,7 | 0.0%,7 | 0.0%,6 | 0.0%,17 | 0.01%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
3,1,1895 | 1.09%,6418 | 3.69%,4614 | 2.65%,3910 | 2.25%,3220 | 1.85%,2481 | 1.43%,1859 | 1.07%,1436 | 0.83%,1075 | 0.62%,809 | 0.47%,559 | 0.32%,383 | 0.22%,285 | 0.16%,172 | 0.1%,130 | 0.07%,106 | 0.06%,64 | 0.04%,47 | 0.03%,35 | 0.02%,13 | 0.01%,3 | 0.0%,3 | 0.0%,4 | 0.0%,1 | 0.0%,3 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
4,2,588 | 0.34%,2047 | 1.18%,1826 | 1.05%,1718 | 0.99%,1564 | 0.9%,1273 | 0.73%,1043 | 0.6%,794 | 0.46%,647 | 0.37%,490 | 0.28%,346 | 0.2%,278 | 0.16%,155 | 0.09%,146 | 0.08%,89 | 0.05%,67 | 0.04%,60 | 0.03%,41 | 0.02%,18 | 0.01%,15 | 0.01%,7 | 0.0%,2 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
5,3,178 | 0.1%,805 | 0.46%,846 | 0.49%,856 | 0.49%,838 | 0.48%,724 | 0.42%,648 | 0.37%,536 | 0.31%,436 | 0.25%,344 | 0.2%,267 | 0.15%,194 | 0.11%,130 | 0.07%,108 | 0.06%,70 | 0.04%,54 | 0.03%,40 | 0.02%,38 | 0.02%,33 | 0.02%,27 | 0.02%,15 | 0.01%,6 | 0.0%,4 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
6,4,72 | 0.04%,350 | 0.2%,454 | 0.26%,423 | 0.24%,429 | 0.25%,364 | 0.21%,342 | 0.2%,312 | 0.18%,295 | 0.17%,229 | 0.13%,185 | 0.11%,150 | 0.09%,105 | 0.06%,90 | 0.05%,81 | 0.05%,68 | 0.04%,32 | 0.02%,17 | 0.01%,12 | 0.01%,7 | 0.0%,6 | 0.0%,9 | 0.01%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
7,5,37 | 0.02%,226 | 0.13%,185 | 0.11%,218 | 0.13%,204 | 0.12%,241 | 0.14%,239 | 0.14%,190 | 0.11%,169 | 0.1%,158 | 0.09%,134 | 0.08%,106 | 0.06%,84 | 0.05%,71 | 0.04%,47 | 0.03%,38 | 0.02%,38 | 0.02%,22 | 0.01%,17 | 0.01%,9 | 0.01%,11 | 0.01%,7 | 0.0%,4 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
8,6,17 | 0.01%,118 | 0.07%,141 | 0.08%,145 | 0.08%,167 | 0.1%,145 | 0.08%,143 | 0.08%,125 | 0.07%,121 | 0.07%,99 | 0.06%,93 | 0.05%,67 | 0.04%,65 | 0.04%,56 | 0.03%,42 | 0.02%,33 | 0.02%,26 | 0.01%,17 | 0.01%,14 | 0.01%,6 | 0.0%,7 | 0.0%,5 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
9,7,8 | 0.0%,56 | 0.03%,75 | 0.04%,92 | 0.05%,89 | 0.05%,122 | 0.07%,107 | 0.06%,97 | 0.06%,81 | 0.05%,98 | 0.06%,56 | 0.03%,56 | 0.03%,45 | 0.03%,42 | 0.02%,44 | 0.03%,31 | 0.02%,28 | 0.02%,17 | 0.01%,8 | 0.0%,13 | 0.01%,6 | 0.0%,4 | 0.0%,3 | 0.0%,3 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
