,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,Valeurs predites,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,45,46,54,-1,
1,Valeurs reelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,108300 | 62.26%,22958 | 13.2%,6355 | 3.65%,2938 | 1.69%,1650 | 0.95%,1155 | 0.66%,607 | 0.35%,420 | 0.24%,348 | 0.2%,264 | 0.15%,208 | 0.12%,158 | 0.09%,117 | 0.07%,179 | 0.1%,100 | 0.06%,104 | 0.06%,67 | 0.04%,101 | 0.06%,37 | 0.02%,55 | 0.03%,47 | 0.03%,25 | 0.01%,27 | 0.02%,28 | 0.02%,25 | 0.01%,11 | 0.01%,7 | 0.0%,8 | 0.0%,10 | 0.01%,3 | 0.0%,0 | 0.0%,5 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,8 | 0.0%,12 | 0.01%,0 | 0.0%,244 | 0.14%,
3,1,3528 | 2.03%,905 | 0.52%,346 | 0.2%,243 | 0.14%,76 | 0.04%,62 | 0.04%,36 | 0.02%,22 | 0.01%,19 | 0.01%,11 | 0.01%,8 | 0.0%,5 | 0.0%,2 | 0.0%,5 | 0.0%,4 | 0.0%,4 | 0.0%,0 | 0.0%,3 | 0.0%,2 | 0.0%,0 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,3 | 0.0%,1 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,7 | 0.0%,
4,2,2222 | 1.28%,941 | 0.54%,396 | 0.23%,245 | 0.14%,71 | 0.04%,61 | 0.04%,38 | 0.02%,63 | 0.04%,23 | 0.01%,18 | 0.01%,21 | 0.01%,9 | 0.01%,10 | 0.01%,12 | 0.01%,8 | 0.0%,6 | 0.0%,9 | 0.01%,5 | 0.0%,4 | 0.0%,3 | 0.0%,8 | 0.0%,5 | 0.0%,11 | 0.01%,6 | 0.0%,1 | 0.0%,5 | 0.0%,3 | 0.0%,2 | 0.0%,4 | 0.0%,3 | 0.0%,6 | 0.0%,3 | 0.0%,1 | 0.0%,8 | 0.0%,3 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,
5,3,1395 | 0.8%,679 | 0.39%,290 | 0.17%,197 | 0.11%,68 | 0.04%,32 | 0.02%,34 | 0.02%,27 | 0.02%,21 | 0.01%,12 | 0.01%,15 | 0.01%,11 | 0.01%,13 | 0.01%,22 | 0.01%,12 | 0.01%,8 | 0.0%,7 | 0.0%,7 | 0.0%,15 | 0.01%,40 | 0.02%,3 | 0.0%,4 | 0.0%,3 | 0.0%,3 | 0.0%,4 | 0.0%,3 | 0.0%,7 | 0.0%,1 | 0.0%,4 | 0.0%,1 | 0.0%,2 | 0.0%,3 | 0.0%,2 | 0.0%,3 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
6,4,1101 | 0.63%,514 | 0.3%,207 | 0.12%,185 | 0.11%,83 | 0.05%,45 | 0.03%,39 | 0.02%,38 | 0.02%,57 | 0.03%,19 | 0.01%,23 | 0.01%,22 | 0.01%,14 | 0.01%,18 | 0.01%,17 | 0.01%,16 | 0.01%,14 | 0.01%,6 | 0.0%,12 | 0.01%,5 | 0.0%,4 | 0.0%,4 | 0.0%,7 | 0.0%,4 | 0.0%,3 | 0.0%,0 | 0.0%,7 | 0.0%,3 | 0.0%,6 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
7,5,921 | 0.53%,466 | 0.27%,194 | 0.11%,189 | 0.11%,128 | 0.07%,76 | 0.04%,49 | 0.03%,27 | 0.02%,54 | 0.03%,30 | 0.02%,17 | 0.01%,15 | 0.01%,14 | 0.01%,13 | 0.01%,13 | 0.01%,23 | 0.01%,10 | 0.01%,8 | 0.0%,5 | 0.0%,7 | 0.0%,2 | 0.0%,3 | 0.0%,4 | 0.0%,6 | 0.0%,2 | 0.0%,2 | 0.0%,4 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,
8,6,742 | 0.43%,530 | 0.3%,182 | 0.1%,98 | 0.06%,65 | 0.04%,61 | 0.04%,52 | 0.03%,34 | 0.02%,29 | 0.02%,39 | 0.02%,11 | 0.01%,12 | 0.01%,10 | 0.01%,14 | 0.01%,12 | 0.01%,7 | 0.0%,4 | 0.0%,8 | 0.0%,3 | 0.0%,3 | 0.0%,2 | 0.0%,1 | 0.0%,3 | 0.0%,28 | 0.02%,4 | 0.0%,1 | 0.0%,3 | 0.0%,6 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,
9,7,607 | 0.35%,354 | 0.2%,138 | 0.08%,72 | 0.04%,57 | 0.03%,32 | 0.02%,41 | 0.02%,43 | 0.02%,44 | 0.03%,21 | 0.01%,79 | 0.05%,26 | 0.01%,15 | 0.01%,15 | 0.01%,7 | 0.0%,5 | 0.0%,4 | 0.0%,1 | 0.0%,2 | 0.0%,6 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
