,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,Valeurs predites,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,-2,-4,-3,-1,
1,Valeurs reelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,3234 | 1.86%,11248 | 6.47%,15060 | 8.66%,7778 | 4.47%,2761 | 1.59%,1338 | 0.77%,662 | 0.38%,306 | 0.18%,192 | 0.11%,85 | 0.05%,41 | 0.02%,40 | 0.02%,17 | 0.01%,10 | 0.01%,1 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,124 | 0.07%,0 | 0.0%,14 | 0.01%,699 | 0.4%,
3,1,1677 | 0.96%,6758 | 3.89%,11127 | 6.4%,7511 | 4.32%,3468 | 1.99%,1834 | 1.05%,963 | 0.55%,545 | 0.31%,281 | 0.16%,117 | 0.07%,80 | 0.05%,21 | 0.01%,9 | 0.01%,6 | 0.0%,4 | 0.0%,3 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,108 | 0.06%,0 | 0.0%,10 | 0.01%,379 | 0.22%,
4,2,705 | 0.41%,3314 | 1.91%,6648 | 3.82%,5498 | 3.16%,3373 | 1.94%,1961 | 1.13%,1024 | 0.59%,576 | 0.33%,318 | 0.18%,135 | 0.08%,57 | 0.03%,33 | 0.02%,9 | 0.01%,6 | 0.0%,5 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,28 | 0.02%,1 | 0.0%,8 | 0.0%,163 | 0.09%,
5,3,353 | 0.2%,1673 | 0.96%,4051 | 2.33%,3772 | 2.17%,2653 | 1.53%,1790 | 1.03%,1050 | 0.6%,689 | 0.4%,417 | 0.24%,199 | 0.11%,96 | 0.06%,34 | 0.02%,17 | 0.01%,4 | 0.0%,4 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,9 | 0.01%,0 | 0.0%,2 | 0.0%,56 | 0.03%,
6,4,175 | 0.1%,913 | 0.52%,2514 | 1.45%,2492 | 1.43%,2101 | 1.21%,1500 | 0.86%,1007 | 0.58%,674 | 0.39%,347 | 0.2%,192 | 0.11%,113 | 0.06%,63 | 0.04%,26 | 0.01%,8 | 0.0%,5 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,11 | 0.01%,0 | 0.0%,1 | 0.0%,36 | 0.02%,
7,5,120 | 0.07%,592 | 0.34%,1539 | 0.88%,1775 | 1.02%,1408 | 0.81%,1165 | 0.67%,860 | 0.49%,554 | 0.32%,352 | 0.2%,283 | 0.16%,122 | 0.07%,78 | 0.04%,41 | 0.02%,22 | 0.01%,13 | 0.01%,6 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,9 | 0.01%,0 | 0.0%,5 | 0.0%,27 | 0.02%,
8,6,83 | 0.05%,304 | 0.17%,916 | 0.53%,1159 | 0.67%,1022 | 0.59%,941 | 0.54%,750 | 0.43%,510 | 0.29%,374 | 0.22%,270 | 0.16%,149 | 0.09%,121 | 0.07%,51 | 0.03%,39 | 0.02%,19 | 0.01%,9 | 0.01%,7 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,15 | 0.01%,1 | 0.0%,6 | 0.0%,27 | 0.02%,
9,7,29 | 0.02%,187 | 0.11%,650 | 0.37%,822 | 0.47%,836 | 0.48%,739 | 0.42%,641 | 0.37%,470 | 0.27%,330 | 0.19%,243 | 0.14%,165 | 0.09%,128 | 0.07%,37 | 0.02%,30 | 0.02%,15 | 0.01%,13 | 0.01%,6 | 0.0%,4 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,9 | 0.01%,1 | 0.0%,3 | 0.0%,13 | 0.01%,
